A5P_ones_250GA_G_FC_100RUB_pp156
15;;708.32
20;;838.87
25;;892.71
30;;1014.49
40;;1201.08
50;;1371.37
60;;1604.58
70;;1799.96
80;;1982.57
90;;2163.02
100;;2332.33
110;;2523.92
120;;2728.30
130;;2898.28
140;;3103.34
150;;3306.18
160;;3540.41
170;;3642.19
180;;3837.43
190;;3918.06
200;;4109.44
225;;4484.22
250;;4951.44
275;;5279.76
300;;5732.44

A5P_ones_250GA_G_FC_100RUB_pp168
5;;437.67
10;;592.11
15;;711.46
20;;843.17
25;;898.27
30;;1019.55
40;;1208.46
50;;1379.41
60;;1614.57
70;;1810.84
80;;1995.64
90;;2176.87
100;;2347.34
110;;2539.62
120;;2746.27
130;;2919.63
140;;3123.44
150;;3327.25
160;;3563.71
170;;3665.78
180;;3862.38
190;;3943.22
200;;4136.71
225;;4514.07
250;;4983.91
275;;5314.53
300;;5770.13

A5P_ones_250GA_G_FC_100RUB_pp170
5;;440.24
10;;596.45
15;;715.16
20;;848.62
25;;904.35
30;;1026.17
40;;1215.85
50;;1388.88
60;;1625.50
70;;1823.10
80;;2008.72
90;;2192.03
100;;2363.23
110;;2556.60
120;;2764.23
130;;2939.57
140;;3144.36
150;;3349.57
160;;3589.66
170;;3690.60
180;;3888.15
190;;3969.57
200;;4163.98
225;;4546.74
250;;5017.54
275;;5349.67
300;;5808.56

A5P_ones_250GA_G_FC_100RUB_pp172
5;;442.22
10;;599.05
15;;720.00
20;;852.92
25;;908.86
30;;1032.27
40;;1228.79
50;;1396.92
60;;1635.49
70;;1834.89
80;;2026.79
90;;2205.88
100;;2378.24
110;;2573.15
120;;2786.91
130;;2958.27
140;;3164.46
150;;3371.47
160;;3617.60
170;;3714.20
180;;3913.11
190;;3998.03
200;;4195.64
225;;4575.83
250;;5050.01
275;;5384.82
300;;5846.25

A5P_ones_250GA_G_FC_100RUB_pp174
5;;444.21
10;;602.23
15;;723.70
20;;858.35
25;;914.42
30;;1038.90
40;;1236.17
50;;1405.45
60;;1646.41
70;;1847.14
80;;2039.86
90;;2220.18
100;;2394.13
110;;2590.13
120;;2804.88
130;;2977.39
140;;3185.38
150;;3393.80
160;;3640.90
170;;3738.21
180;;3938.87
190;;4024.38
200;;4222.91
225;;4605.69
250;;5082.87
275;;5419.96
300;;5884.68

A5P_ones_250GA_G_FC_100RUB_pp176
5;;446.19
10;;604.82
15;;726.84
20;;862.65
25;;918.93
30;;1043.96
40;;1243.56
50;;1413.49
60;;1656.41
70;;1858.02
80;;2052.94
90;;2234.03
100;;2409.14
110;;2605.83
120;;2822.84
130;;2996.08
140;;3205.48
150;;3414.86
160;;3664.20
170;;3761.80
180;;3963.83
190;;4049.54
200;;4250.18
225;;4634.77
250;;5117.77
275;;5458.13
300;;5922.37

A5P_ones_250GA_G_FC_100RUB_pp178
5;;449.92
10;;609.16
15;;731.67
20;;868.09
25;;925.00
30;;1050.60
40;;1250.94
50;;1422.96
60;;1667.34
70;;1870.27
80;;2066.01
90;;2249.20
100;;2425.03
110;;2622.82
120;;2840.82
130;;3016.03
140;;3226.40
150;;3437.18
160;;3687.50
170;;3786.63
180;;3989.59
190;;4075.89
200;;4277.45
225;;4665.01
250;;5151.40
275;;5493.28
300;;5960.80

A5P_ones_250GA_G_FC_100RUB_pp180
5;;451.91
10;;611.75
15;;735.38
20;;872.39
25;;930.55
30;;1056.70
40;;1258.33
50;;1431.01
60;;1677.33
70;;1882.07
80;;2079.08
90;;2263.05
100;;2440.04
110;;2639.36
120;;2858.78
130;;3034.73
140;;3246.48
150;;3459.08
160;;3710.79
170;;3810.22
180;;4014.55
190;;4106.23
200;;4304.73
225;;4694.86
250;;5183.87
275;;5530.79
300;;5998.49

A5P_ones_250GA_G_FC_100RUB_pp182
5;;453.89
10;;614.51
15;;740.22
20;;877.82
25;;935.06
30;;1063.33
40;;1265.71
50;;1439.53
60;;1688.26
70;;1894.32
80;;2092.14
90;;2277.34
100;;2455.93
110;;2656.34
120;;2876.74
130;;3053.84
140;;3267.42
150;;3481.40
160;;3734.09
170;;3834.22
180;;4040.32
190;;4132.58
200;;4332.00
225;;4723.95
250;;5216.73
275;;5565.93
300;;6036.91

A5P_ones_250GA_G_FC_100RUB_pp184
5;;455.88
10;;617.11
15;;743.36
20;;882.12
25;;940.63
30;;1069.97
40;;1273.10
50;;1448.07
60;;1701.22
70;;1905.20
80;;2105.22
90;;2293.99
100;;2470.95
110;;2672.05
120;;2897.40
130;;3072.54
140;;3287.50
150;;3509.77
160;;3757.39
170;;3857.83
180;;4067.85
190;;4157.75
200;;4359.27
225;;4758.07
250;;5249.21
275;;5600.70
300;;6081.10

A5P_ones_250GA_G_FC_100RUB_pp186
5;;458.45
10;;621.44
15;;747.06
20;;887.57
25;;946.70
30;;1076.60
40;;1280.49
50;;1458.09
60;;1712.14
70;;1917.44
80;;2118.29
